c_customer_sk,c_customer_id,c_first_name,c_last_name,c_email_address
1,CUST0000000001,Jane,Smith,cust1@email.com
2,CUST0000000002,David,Brown,cust2@email.com
3,CUST0000000003,Emily,Williams,cust3@email.com
4,CUST0000000004,Jane,Rodriguez,cust4@email.com
5,CUST0000000005,Jane,Martinez,cust5@email.com
6,CUST0000000006,Robert,Smith,cust6@email.com
7,CUST0000000007,John,Johnson,cust7@email.com
8,CUST0000000008,Emily,Brown,cust8@email.com
9,CUST0000000009,William,Martinez,cust9@email.com
10,CUST0000000010,John,Rodriguez,cust10@email.com
11,CUST0000000011,Emily,Rodriguez,cust11@email.com
12,CUST0000000012,Robert,Brown,cust12@email.com
13,CUST0000000013,Lisa,Martinez,cust13@email.com
14,CUST0000000014,David,Smith,cust14@email.com
15,CUST0000000015,Michael,Miller,cust15@email.com
16,CUST0000000016,Sarah,Jones,cust16@email.com
17,CUST0000000017,Michael,Brown,cust17@email.com
18,CUST0000000018,Sarah,Johnson,cust18@email.com
19,CUST0000000019,Jane,Miller,cust19@email.com
20,CUST0000000020,Jane,Garcia,cust20@email.com
21,CUST0000000021,Sarah,Martinez,cust21@email.com
22,CUST0000000022,David,Smith,cust22@email.com
23,CUST0000000023,Lisa,Rodriguez,cust23@email.com
24,CUST0000000024,Jane,Miller,cust24@email.com
25,CUST0000000025,Jane,Rodriguez,cust25@email.com
26,CUST0000000026,David,Martinez,cust26@email.com
27,CUST0000000027,Sarah,Martinez,cust27@email.com
28,CUST0000000028,Emily,Johnson,cust28@email.com
29,CUST0000000029,John,Brown,cust29@email.com
30,CUST0000000030,David,Johnson,cust30@email.com
31,CUST0000000031,Emily,Johnson,cust31@email.com
32,CUST0000000032,Robert,Jones,cust32@email.com
33,CUST0000000033,Lisa,Garcia,cust33@email.com
34,CUST0000000034,Michael,Garcia,cust34@email.com
35,CUST0000000035,Sarah,Brown,cust35@email.com
36,CUST0000000036,David,Johnson,cust36@email.com
37,CUST0000000037,Mary,Williams,cust37@email.com
38,CUST0000000038,William,Brown,cust38@email.com
39,CUST0000000039,Michael,Davis,cust39@email.com
